report_id,company,actor_category,ESG_block,theme_tag,weight
CN001,Alibaba,Business Partners,E,emissions_reduction,2
CN001,Alibaba,Business Partners,G,ESG_governance,1
CN001,Alibaba,NGO,S,diversity_inclusion,1
CN001,Alibaba,NGO,S,training_education,1
CN002,ANT Group,Business Partners,Cross-cutting,innovation_green_tech,1
CN002,ANT Group,Government,Cross-cutting,innovation_green_tech,2
CN002,ANT Group,Government,E,emissions_reduction,1
CN002,ANT Group,NGO,Cross-cutting,innovation_green_tech,1
CN002,ANT Group,NGO,E,emissions_reduction,2
CN002,ANT Group,NGO,S,diversity_inclusion,1
CN002,ANT Group,Society,Cross-cutting,innovation_green_tech,1
CN002,ANT Group,Society,E,emissions_reduction,1
CN003,ANTA Sports Products Ltd,Business Partners,E,energy_efficiency,1
CN003,ANTA Sports Products Ltd,Business Partners,G,ESG_governance,1
CN003,ANTA Sports Products Ltd,Government,G,compliance_anti_corruption,1
CN003,ANTA Sports Products Ltd,NGO,Cross-cutting,partnerships_general,1
CN003,ANTA Sports Products Ltd,NGO,S,community_development,1
CN003,ANTA Sports Products Ltd,NGO,S,diversity_inclusion,1
CN004,AUO,Business Partners,Cross-cutting,innovation_green_tech,1
CN004,AUO,Business Partners,E,biodiversity_ecosystems,1
CN004,AUO,Business Partners,E,emissions_reduction,1
CN004,AUO,Business Partners,G,ESG_governance,1
CN004,AUO,Business Partners,G,stakeholder_engagement,1
CN004,AUO,Business Partners,S,training_education,1
CN005,Baidu,Business Partners,E,biodiversity_ecosystems,1
